pedido_id,cliente_id,data_pedido,valor_total,status_x,n_itens,transportadora_id,data_envio,data_entrega_prevista,data_entrega_real,atraso_dias,avaliacao_cliente,status_y,regiao_id,cidade,nome_x,tempo_medio_entrega_dias,taxa_atraso,nome_y,distancia_media_km,taxa_congestionamento,tempo_processamento,tempo_entrega_estimado,mes_pedido,dia_semana_pedido,fim_de_semana,atrasada,eficiencia_entrega,valor_total_scaled,tempo_processamento_scaled,tempo_entrega_estimado_scaled,distancia_media_km_scaled,taxa_congestionamento_scaled,metodo_pagamento_Cartão de Crédito,metodo_pagamento_Pix,metodo_pagamento_Transferência,estado_AL,estado_AM,estado_AP,estado_BA,estado_CE,estado_DF,estado_ES,estado_GO,estado_MA,estado_MG,estado_MS,estado_MT,estado_PA,estado_PB,estado_PE,estado_PI,estado_PR,estado_RJ,estado_RN,estado_RO,estado_RR,estado_RS,estado_SC,estado_SE,estado_SP,estado_TO
11,225,2023-01-23,4998.46,Entregue,4,8,2023-01-26,2023-01-31,2023-01-31,0,3,Entregue,2,da Rosa,Transportadora_H,4,0.11,Região_B,1392,1.27,3,5,1,0,0,0,1.0,1.1819510075281314,1.201790052718506,-1.277659109502207,0.5724959113297651,-1.791989627209704,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,241,2023-04-10,2247.96,Entregue,3,7,2023-04-12,2023-04-18,2023-04-18,0,4,Entregue,2,Garcia de Fernandes,Transportadora_G,5,0.28,Região_B,1392,1.27,2,6,4,0,0,0,1.0,-0.43565654090354594,-0.0220287382372025,-1.052837869047833,0.5724959113297651,-1.791989627209704,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
13,103,2023-11-06,1525.39,Entregue,2,8,2023-11-09,2023-11-15,2023-11-15,0,5,Entregue,3,Melo,Transportadora_H,4,0.11,Região_C,1336,1.7,3,6,11,0,0,0,1.0,-0.8606100716326051,1.201790052718506,-1.052837869047833,0.4165631728352765,-0.14250757711835713,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,265,2023-03-05,2711.73,Entregue,3,3,2023-03-07,2023-03-21,2023-03-21,0,3,Entregue,4,da Rosa da Praia,Transportadora_C,8,0.2,Região_D,1204,1.87,2,14,3,6,1,0,1.0,-0.16290691256827633,-0.0220287382372025,0.7457320545871583,0.0490074320982676,0.5096132333828737,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,231,2023-06-28,1773.12,Entregue,1,7,2023-06-29,2023-07-08,2023-07-08,0,3,Entregue,5,Albuquerque do Galho,Transportadora_G,5,0.28,Região_E,1444,1.96,1,9,6,2,0,0,1.0,-0.7149165911843305,-1.245847529192911,-0.3783741476847113,0.7172905970746474,0.8548536624717598,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
16,42,2023-07-11,1803.28,Entregue,2,6,2023-07-12,2023-07-29,2023-07-29,0,3,Entregue,3,Martins de Vargas,Transportadora_F,10,0.21,Região_C,1336,1.7,1,17,7,1,0,0,1.0,-0.6971790730382845,-1.245847529192911,1.4201957759502801,0.4165631728352765,-0.14250757711835713,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,147,2023-08-30,3353.77,Entregue,2,1,2023-09-02,2023-09-13,2023-09-13,0,3,Entregue,2,Duarte Verde,Transportadora_A,9,0.26,Região_B,1392,1.27,3,11,8,2,0,0,1.0,0.21468579799164883,1.201790052718506,0.07126833322403657,0.5724959113297651,-1.791989627209704,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,111,2023-03-18,5163.02,Entregue,5,2,2023-03-20,2023-03-25,2023-03-29,4,3,Entregue,5,Silva,Transportadora_B,3,0.16,Região_E,1444,1.96,2,5,3,5,1,1,0.5555555555555556,1.2787310468554967,-0.0220287382372025,-1.277659109502207,0.7172905970746474,0.8548536624717598,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
19,33,2023-02-26,3101.37,Entregue,4,3,2023-02-27,2023-03-12,2023-03-12,0,3,Entregue,3,Azevedo,Transportadora_C,8,0.2,Região_C,1336,1.7,1,13,2,6,1,0,1.0,0.06624582517792205,-1.245847529192911,0.5209108141327844,0.4165631728352765,-0.14250757711835713,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,124,2023-10-20,4190.34,Entregue,4,1,2023-10-21,2023-11-06,2023-11-06,0,4,Entregue,4,Vieira,Transportadora_A,9,0.26,Região_D,1204,1.87,1,16,10,4,0,0,1.0,0.7066843243655767,-1.245847529192911,1.1953745354959062,0.0490074320982676,0.5096132333828737,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
21,199,2023-07-11,4480.28,Entregue,3,4,2023-07-13,2023-07-27,2023-07-27,0,5,Entregue,4,Alves,Transportadora_D,8,0.27,Região_D,1204,1.87,2,14,7,1,0,0,1.0,0.8772020966223592,-0.0220287382372025,0.7457320545871583,0.0490074320982676,0.5096132333828737,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,298,2023-06-20,3629.45,Entregue,2,6,2023-06-23,2023-07-10,2023-07-10,0,3,Entregue,3,Correia de Minas,Transportadora_F,10,0.21,Região_C,1336,1.7,3,17,6,1,0,0,1.0,0.3768170646528539,1.201790052718506,1.4201957759502801,0.4165631728352765,-0.14250757711835713,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,246,2023-11-20,801.51,Entregue,2,8,2023-11-23,2023-11-30,2023-12-02,2,1,Entregue,4,Cavalcanti,Transportadora_H,4,0.11,Região_D,1204,1.87,3,7,11,0,0,1,0.7777777777777778,-1.2863340316975835,1.201790052718506,-0.8280166285934591,0.0490074320982676,0.5096132333828737,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
24,22,2023-06-11,1743.08,Entregue,3,5,2023-06-13,2023-06-22,2023-06-28,6,1,Entregue,5,Viana Verde,Transportadora_E,5,0.13,Região_E,1444,1.96,2,9,6,6,1,1,0.6,-0.7325835356507503,-0.0220287382372025,-0.3783741476847113,0.7172905970746474,0.8548536624717598,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
25,183,2023-01-25,3883.48,Entregue,3,7,2023-01-27,2023-02-05,2023-02-05,0,4,Entregue,5,Almeida,Transportadora_G,5,0.28,Região_E,1444,1.96,2,9,1,2,0,0,1.0,0.526215663281503,-0.0220287382372025,-0.3783741476847113,0.7172905970746474,0.8548536624717598,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
26,96,2023-09-12,2860.38,Entregue,4,7,2023-09-15,2023-09-24,2023-09-29,5,1,Entregue,5,Cirino da Praia,Transportadora_G,5,0.28,Região_E,1444,1.96,3,9,9,1,0,1,0.6428571428571429,-0.07548376693134885,1.201790052718506,-0.3783741476847113,0.7172905970746474,0.8548536624717598,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,165,2023-02-22,1140.54,Entregue,1,5,2023-02-25,2023-03-05,2023-03-05,0,5,Entregue,3,Lopes,Transportadora_E,5,0.13,Região_C,1336,1.7,3,8,2,2,0,0,1.0,-1.0869457433337253,1.201790052718506,-0.6031953881390851,0.4165631728352765,-0.14250757711835713,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
28,86,2023-12-20,5341.6,Entregue,4,7,2023-12-23,2023-12-29,2024-01-05,7,1,Entregue,2,Cassiano,Transportadora_G,5,0.28,Região_B,1392,1.27,3,6,12,2,0,1,0.46153846153846156,1.3837564444191863,1.201790052718506,-1.052837869047833,0.5724959113297651,-1.791989627209704,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,208,2023-07-06,6009.83,Entregue,5,2,2023-07-07,2023-07-12,2023-07-12,0,5,Entregue,1,Araújo de Minas,Transportadora_B,3,0.16,Região_A,454,1.9,1,5,7,3,0,0,1.0,1.7767518605575245,-1.245847529192911,-1.277659109502207,-2.039377458452919,0.6246933764125018,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
30,186,2023-07-16,6416.02,Entregue,5,2,2023-07-18,2023-07-23,2023-07-23,0,5,Entregue,1,Casa Grande das Pedras,Transportadora_B,3,0.16,Região_A,454,1.9,2,5,7,6,1,0,1.0,2.015637884952167,-0.0220287382372025,-1.277659109502207,-2.039377458452919,0.6246933764125018,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,204,2023-06-10,1830.5,Entregue,3,3,2023-06-13,2023-06-28,2023-06-28,0,4,Entregue,5,da Paz,Transportadora_C,8,0.2,Região_E,1444,1.96,3,15,6,5,1,0,1.0,-0.6811706100430799,1.201790052718506,0.9705532950415322,0.7172905970746474,0.8548536624717598,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
32,135,2023-05-14,4630.59,Entregue,4,3,2023-05-15,2023-05-30,2023-05-30,0,4,Entregue,1,Moura de Minas,Transportadora_C,8,0.2,Região_A,454,1.9,1,15,5,6,1,0,1.0,0.9656015114941155,-1.245847529192911,0.9705532950415322,-2.039377458452919,0.6246933764125018,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,228,2023-02-14,3282.2,Entregue,3,5,2023-02-17,2023-02-26,2023-02-26,0,3,Entregue,1,Nascimento dos Dourados,Transportadora_E,5,0.13,Região_A,454,1.9,3,9,2,1,0,0,1.0,0.1725944792346027,1.201790052718506,-0.3783741476847113,-2.039377458452919,0.6246933764125018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,186,2023-09-18,1960.75,Entregue,2,4,2023-09-19,2023-10-04,2023-10-04,0,3,Entregue,1,Casa Grande das Pedras,Transportadora_D,8,0.27,Região_A,454,1.9,1,15,9,0,0,0,1.0,-0.604568761948833,-1.245847529192911,0.9705532950415322,-2.039377458452919,0.6246933764125018,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,284,2023-10-21,2023.72,Entregue,3,2,2023-10-24,2023-10-27,2023-10-31,4,3,Entregue,2,Costa das Flores,Transportadora_B,3,0.16,Região_B,1392,1.27,3,3,10,5,1,1,0.42857142857142855,-0.5675352235649963,1.201790052718506,-1.7273015904109548,0.5724959113297651,-1.791989627209704,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,270,2023-07-30,3112.45,Entregue,4,2,2023-08-02,2023-08-07,2023-08-07,0,5,Entregue,5,Nascimento,Transportadora_B,3,0.16,Região_E,1444,1.96,3,5,7,6,1,0,1.0,0.07276212826340572,1.201790052718506,-1.277659109502207,0.7172905970746474,0.8548536624717598,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
37,66,2023-10-10,3403.22,Entregue,5,3,2023-10-11,2023-10-25,2023-10-25,0,3,Entregue,4,Moura,Transportadora_C,8,0.2,Região_D,1204,1.87,1,14,10,1,0,0,1.0,0.2437680351376027,-1.245847529192911,0.7457320545871583,0.0490074320982676,0.5096132333828737,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,116,2023-06-27,4852.43,Entregue,5,3,2023-06-29,2023-07-13,2023-07-13,0,5,Entregue,4,Moraes do Galho,Transportadora_C,8,0.2,Região_D,1204,1.87,2,14,6,1,0,0,1.0,1.0960687205630424,-0.0220287382372025,0.7457320545871583,0.0490074320982676,0.5096132333828737,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
39,258,2023-11-25,3610.29,Entregue,2,6,2023-11-26,2023-12-15,2023-12-15,0,5,Entregue,5,Almeida,Transportadora_F,10,0.21,Região_E,1444,1.96,1,19,11,5,1,0,1.0,0.36554880047254096,-1.245847529192911,1.869838256859028,0.7172905970746474,0.8548536624717598,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
40,15,2023-02-11,806.2,Entregue,1,4,2023-02-13,2023-02-28,2023-02-28,0,4,Entregue,1,Teixeira,Transportadora_D,8,0.27,Região_A,454,1.9,2,15,2,5,1,0,1.0,-1.2835757770521934,-0.0220287382372025,0.9705532950415322,-2.039377458452919,0.6246933764125018,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
41,255,2023-11-18,4609.28,Entregue,5,8,2023-11-20,2023-11-27,2023-11-28,1,1,Entregue,4,Câmara do Amparo,Transportadora_H,4,0.11,Região_D,1204,1.87,2,7,11,5,1,1,0.875,0.9530688022204999,-0.0220287382372025,-0.8280166285934591,0.0490074320982676,0.5096132333828737,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
42,213,2023-09-05,5906.96,Entregue,4,6,2023-09-08,2023-09-27,2023-09-27,0,4,Entregue,5,da Paz,Transportadora_F,10,0.21,Região_E,1444,1.96,3,19,9,1,0,0,1.0,1.716252573697984,1.201790052718506,1.869838256859028,0.7172905970746474,0.8548536624717598,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
43,67,2023-07-09,3530.91,Entregue,5,5,2023-07-10,2023-07-18,2023-07-18,0,3,Entregue,3,Fogaça Paulista,Transportadora_E,5,0.13,Região_C,1336,1.7,1,8,7,6,1,0,1.0,0.31886431139982446,-1.245847529192911,-0.6031953881390851,0.4165631728352765,-0.14250757711835713,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
44,26,2023-05-29,2464.98,Entregue,4,6,2023-06-01,2023-06-20,2023-06-22,2,2,Entregue,5,Cardoso,Transportadora_F,10,0.21,Região_E,1444,1.96,3,19,5,0,0,1,0.9047619047619048,-0.30802404129960387,1.201790052718506,1.869838256859028,0.7172905970746474,0.8548536624717598,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
45,256,2023-06-07,3496.05,Entregue,4,4,2023-06-09,2023-06-23,2023-06-26,3,1,Entregue,4,Ferreira de Sá,Transportadora_D,8,0.27,Região_D,1204,1.87,2,14,6,2,0,1,0.8235294117647058,0.2983626574684201,-0.0220287382372025,0.7457320545871583,0.0490074320982676,0.5096132333828737,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,145,2023-09-11,4850.57,Entregue,5,3,2023-09-13,2023-09-27,2023-09-27,0,5,Entregue,4,Silveira,Transportadora_C,8,0.2,Região_D,1204,1.87,2,14,9,0,0,0,1.0,1.0949748285288363,-0.0220287382372025,0.7457320545871583,0.0490074320982676,0.5096132333828737,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,207,2023-07-07,1832.21,Entregue,1,4,2023-07-08,2023-07-21,2023-07-21,0,4,Entregue,3,Moura,Transportadora_D,8,0.27,Região_C,1336,1.7,1,13,7,4,0,0,1.0,-0.6801649351084068,-1.245847529192911,0.5209108141327844,0.4165631728352765,-0.14250757711835713,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
48,198,2023-09-16,3434.93,Entregue,4,7,2023-09-17,2023-09-26,2023-09-26,0,4,Entregue,4,Almeida,Transportadora_G,5,0.28,Região_D,1204,1.87,1,9,9,5,1,0,1.0,0.26241712997882016,-1.245847529192911,-0.3783741476847113,0.0490074320982676,0.5096132333828737,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
49,74,2023-04-12,5773.2,Entregue,5,3,2023-04-13,2023-04-28,2023-04-28,0,4,Entregue,1,Dias de Azevedo,Transportadora_C,8,0.2,Região_A,454,1.9,1,15,4,2,0,0,1.0,1.6375864454746711,-1.245847529192911,0.9705532950415322,-2.039377458452919,0.6246933764125018,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,77,2023-11-07,4097.0,Entregue,5,5,2023-11-10,2023-11-18,2023-11-18,0,5,Entregue,3,Novaes de Moraes,Transportadora_E,5,0.13,Região_C,1336,1.7,3,8,11,1,0,0,1.0,0.6517897638963482,1.201790052718506,-0.6031953881390851,0.4165631728352765,-0.14250757711835713,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,289,2023-06-03,4182.85,Entregue,4,5,2023-06-05,2023-06-14,2023-06-14,0,5,Entregue,4,Pimenta,Transportadora_E,5,0.13,Região_D,1204,1.87,2,9,6,5,1,0,1.0,0.7022793505289096,-0.0220287382372025,-0.3783741476847113,0.0490074320982676,0.5096132333828737,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
52,243,2023-05-16,3489.7,Entregue,5,7,2023-05-17,2023-05-26,2023-06-01,6,1,Entregue,4,Duarte da Prata,Transportadora_G,5,0.28,Região_D,1204,1.87,1,9,5,1,0,1,0.6,0.29462813358820134,-1.245847529192911,-0.3783741476847113,0.0490074320982676,0.5096132333828737,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
53,294,2023-12-25,1579.9,Entregue,1,8,2023-12-26,2024-01-02,2024-01-02,0,3,Entregue,5,da Conceição da Prata,Transportadora_H,4,0.11,Região_E,1444,1.96,1,7,12,0,0,0,1.0,-0.8285519776624138,-1.245847529192911,-0.8280166285934591,0.7172905970746474,0.8548536624717598,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,105,2023-07-30,5121.14,Entregue,5,6,2023-08-02,2023-08-14,2023-08-14,0,4,Entregue,2,Lopes Grande,Transportadora_F,10,0.21,Região_B,1392,1.27,3,12,7,6,1,0,1.0,1.2541008326659606,1.201790052718506,0.2960895736784105,0.5724959113297651,-1.791989627209704,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,161,2023-03-30,5862.42,Entregue,4,5,2023-04-02,2023-04-11,2023-04-11,0,3,Entregue,5,da Mata Grande,Transportadora_E,5,0.13,Região_E,1444,1.96,3,9,3,3,0,0,1.0,1.6900579762767345,1.201790052718506,-0.3783741476847113,0.7172905970746474,0.8548536624717598,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
56,143,2023-10-13,3456.24,Entregue,3,4,2023-10-16,2023-10-30,2023-10-30,0,4,Entregue,4,Nunes,Transportadora_D,8,0.27,Região_D,1204,1.87,3,14,10,4,0,0,1.0,0.2749498392524355,1.201790052718506,0.7457320545871583,0.0490074320982676,0.5096132333828737,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
57,246,2023-06-28,6046.69,Entregue,5,7,2023-06-30,2023-07-09,2023-07-09,0,3,Entregue,4,Cavalcanti,Transportadora_G,5,0.28,Região_D,1204,1.87,2,9,6,2,0,0,1.0,1.7984297424826985,-0.0220287382372025,-0.3783741476847113,0.0490074320982676,0.5096132333828737,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
58,22,2023-05-28,1693.7,Entregue,1,5,2023-05-30,2023-06-08,2023-06-08,0,3,Entregue,5,Viana Verde,Transportadora_E,5,0.13,Região_E,1444,1.96,2,9,5,6,1,0,1.0,-0.7616246048169222,-0.0220287382372025,-0.3783741476847113,0.7172905970746474,0.8548536624717598,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
59,276,2023-05-19,6006.72,Entregue,5,4,2023-05-20,2023-06-04,2023-06-04,0,3,Entregue,5,Ribeiro de Freitas,Transportadora_D,8,0.27,Região_E,1444,1.96,1,15,5,4,0,0,1.0,1.774922826027213,-1.245847529192911,0.9705532950415322,0.7172905970746474,0.8548536624717598,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,212,2023-06-19,4431.06,Entregue,4,7,2023-06-20,2023-06-29,2023-06-29,0,4,Entregue,5,Costa,Transportadora_G,5,0.28,Região_E,1444,1.96,1,9,6,0,0,0,1.0,0.848255125695689,-1.245847529192911,-0.3783741476847113,0.7172905970746474,0.8548536624717598,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61,103,2023-05-28,2435.88,Entregue,3,4,2023-05-31,2023-06-13,2023-06-13,0,5,Entregue,3,Melo,Transportadora_D,8,0.27,Região_C,1336,1.7,3,13,5,6,1,0,1.0,-0.32513815860895184,1.201790052718506,0.5209108141327844,0.4165631728352765,-0.14250757711835713,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,90,2023-08-02,1970.9,Entregue,2,3,2023-08-04,2023-08-19,2023-08-19,0,4,Entregue,5,Pires,Transportadora_C,8,0.2,Região_E,1444,1.96,2,15,8,2,0,0,1.0,-0.5985994048804522,-0.0220287382372025,0.9705532950415322,0.7172905970746474,0.8548536624717598,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
